sample_id,doc_id,sentence,institution,title,sector_raw,actor_type,url,amr_penman
s000,21,"We contribute to fairness, equal opportunities and solidarity 5.",AI Recht,Artificial intelligence impact assessment,civil society > other,societe civile,https://airecht.nl/s/Artificial-Intelligence-Impact-Assessment-English.pdf,"# ::id s000
# ::doc_id 21
# ::snt We contribute to fairness, equal opportunities and solidarity 5.
(c / contribute-01
   :li 5
   :ARG0 (w / we)
   :ARG2 (a / and
            :op1 (f / fairness)
            :op2 (o / opportunity
                    :ARG1-of (e / equal-01))
            :op3 (s / solidarity)))"
s001,323,Universal access to education must be achieved through principles of solidarity and fairness.,RenAIssance Foundation,Rome Call for AI Ethics,civil society > NGO,societe civile,https://www.romecall.org/wp-content/uploads/2022/03/RomeCall_Paper_web.pdf,"# ::id s001
# ::doc_id 323
# ::snt Universal access to education must be achieved through principles of solidarity and fairness.
(o / obligate-01
   :ARG2 (a / achieve-01
            :ARG1 (a2 / access-01
                      :ARG1 (e / educate-01)
                      :mod (u / universal))
            :manner (p / principle
                       :mod (s / solidarity)
                       :mod (f / fairness))))"
s002,52,Most decision processes (whether using algorithms or not) exhibit bias in some form and will fail certain tests of fairness.,Centre for Data Ethics and Innovation,Review into Bias in Algorithmic Decision-making,national authority,autorite nationale,https://assets.publishing.service.gov.uk/media/60142096d3bf7f70ba377b20/Review_into_bias_in_algorithmic_decision-making.pdf,"# ::id s002
# ::doc_id 52
# ::snt Most decision processes (whether using algorithms or not) exhibit bias in some form and will fail certain tests of fairness.
(a / and
   :op1 (e / exhibit-01
           :ARG0 (p / process-02
                    :ARG1 (d / decide-01)
                    :quant (m / most)
                    :ARG0-of (u / use-01
                                :ARG1 (a2 / algorithm)
                                :ARG1-of (r / regardless-91
                                            :ARG2 (u2 / use-01
                                                      :polarity -
                                                      :ARG1 a2))))
           :ARG1 (b / bias-01
                    :ARG1 p
                    :mod (f / form
                            :mod (s / some))))
   :op2 (f2 / fail-01
            :ARG1 p
            :ARG2 (t / test-01
                     :ARG2 (f3 / fair-01)
                     :mod (c / certain))))"
s003,69,"121 political rights, safety, fairness – including fair competition – and accountability.",Council of Europe (CAHAI),Towards regulation of AI Systems,international organisation > IGO,organisation internationale,https://rm.coe.int/prems-107320-gbr-2018-compli-cahai-couv-texte-a4-bat-web/1680a0c17a,"# ::id s003
# ::doc_id 69
# ::snt 121 political rights, safety, fairness – including fair competition – and accountability.
(a / and
   :quant 121
   :op1 (r / right-05
           :mod (p / politics))
   :op2 (s / safe-01)
   :op3 (f / fairness
           :ARG2-of (ii / include-01
                        :ARG1 (c / compete-01
                                 :ARG1-of (f2 / fair-01))))
   :op4 (a2 / accountable-02))"
s004,135,"24 by designing platforms to support data collection and annotation, ensuring that data collection respects some properties (such as safety and fairness).",European Commission (AI HLEG),Policy and investment recommendations for trustworthy Artificial Intelligence,international organisation > EU institution,organisation internationale,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=68342,"# ::id s004
# ::doc_id 135
# ::snt 24 by designing platforms to support data collection and annotation, ensuring that data collection respects some properties (such as safety and fairness).
(d / design-01
   :li 24
   :ARG1 (p / platform)
   :ARG3 (s / support-01
            :ARG0 p
            :ARG1 (a / and
                     :op1 (c / collect-01
                             :ARG1 (d2 / data))
                     :op2 (a2 / annotate-01
                              :ARG1 d2)))
   :ARG0-of (e / ensure-01
               :ARG1 (r / respect-01
                        :ARG0 c
                        :ARG1 (p2 / property
                                  :mod (s2 / some)
                                  :example (a3 / and
                                               :op1 (s3 / safe-01)
                                               :op2 (f / fairness))))))"
s005,255,"Further research is necessary to understand the implications of these potential interactions and trade-ofs for the design of AI systems and to understand how designers employ these guidelines ""in the wild."" Finally, we recognize that our guidelines only begin to touch on topics of fairness and broader ethical considerations.",Microsoft,Guidelines for Human-AI Interaction,private sector,secteur prive,https://www.microsoft.com/en-us/research/uploads/prod/2019/01/Guidelines-for-Human-AI-Interaction-camera-ready.pdf,"# ::id s005
# ::doc_id 255
# ::snt Further research is necessary to understand the implications of these potential interactions and trade-ofs for the design of AI systems and to understand how designers employ these guidelines ""in the wild."" Finally, we recognize that our guidelines only begin to touch on topics of fairness and broader ethical considerations.
(m / multi-sentence
   :snt1 (n / need-01
            :ARG1 (r / research-01
                     :ARG1 (a / and
                              :op1 (u / understand-01
                                      :ARG1 (ii / implicate-01
                                                :ARG1 (a2 / and
                                                          :op1 (ii2 / interact-01
                                                                    :mod (p / potential))
                                                          :op2 (t / trade-01)
                                                          :mod (t2 / this))
                                                :purpose (d / design-01
                                                            :ARG1 (s / system
                                                                     :mod (ii3 / intelligent-01
                                                                               :mod (a3 / artificial))))))
                              :op2 (u2 / understand-01
                                       :ARG1 (t3 / thing
                                                 :manner-of (e / employ-02
                                                               :ARG0 (p2 / person
                                                                         :ARG0-of (d2 / design-01))
                                                               :ARG1 (g / guideline
                                                                        :mod (t4 / this))
                                                               :location (w / wild)))))
                     :degree (f / further)))
   :snt2 (r2 / recognize-02
             :ARG0 (w2 / we)
             :ARG1 (b / begin-01
                      :ARG0 g
                      :ARG1 (t5 / touch-on-04
                                :ARG0 g
                                :ARG1 (t6 / topic
                                          :topic (a4 / and
                                                     :op1 (f2 / fairness)
                                                     :op2 (c / consider-02
                                                             :ARG1 (e2 / ethics)
                                                             :ARG1-of (h / have-degree-91
                                                                         :ARG2 (b2 / broad-02
                                                                                   :ARG1 c)
                                                                         :ARG3 (m2 / more))))))
                      :mod (o / only))
             :time (f3 / final)))"
s006,165,"One of the first analyses in this r espect is a recently published report of the European Commission Expert Group entitled 'Ethics of Connected and A utomated Vehicles – Recommendations on road safety, privacy, fairness, explainability and responsibility '.26 This report makes 20 specific ethical recommendations concerning the future development and deployment of CAVs.",European Parliament,Artificial intelligence in road transport - Cost of non-Europe report,international organisation > EU institution,organisation internationale,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/654212/EPRS_STU(2021)654212_EN.pdf,"# ::id s006
# ::doc_id 165
# ::snt One of the first analyses in this r espect is a recently published report of the European Commission Expert Group entitled 'Ethics of Connected and A utomated Vehicles – Recommendations on road safety, privacy, fairness, explainability and responsibility '.26 This report makes 20 specific ethical recommendations concerning the future development and deployment of CAVs.
(r / recommend-01
   :li 26
   :ARG0 (r2 / report-01
             :ARG0 (g / group
                      :name (n / name
                               :op1 ""European""
                               :op2 ""Commission""
                               :op3 ""Expert""
                               :op4 ""Group""))
             :ARG1 (r3 / report-01
                       :ARG1 (e / ethics
                                :topic (a / and
                                          :op1 (v / vehicle
                                                  :ARG1-of (c / connect-01))
                                          :op2 (v2 / vehicle
                                                   :ARG1-of (a2 / automate-01)))
                                :ARG1-of (t / title-01
                                            :ARG2 (r4 / recommend-01
                                                      :ARG1 (a3 / and
                                                                :op1 (s / safe-01
                                                                        :ARG1 (r5 / road))
                                                                :op2 (p / privacy)
                                                                :op3 (f / fairness)
                                                                :op4 (e2 / explain-01
                                                                         :ARG1-of (p2 / possible-01))
                                                                :op5 (r6 / responsible-03)))))
                       :ARG1-of (p3 / publish-01
                                    :time (r7 / recent)))
             :ARG1-of (ii / include-91
                          :ARG2 (a4 / analyze-01
                                    :ord (o / ordinal-entity
                                            :value 1)
                                    :part-of (r8 / regard
                                                 :mod (t2 / this)))))
   :ARG1 (r9 / recommend-01
             :quant 20
             :topic (a5 / and
                        :op1 (d / develop-02
                                :ARG1 (v3 / vehicle
                                          :ARG1-of a2)
                                :mod (c2 / carrier))
                        :time (f2 / future))
             :op2 (d2 / deploy-01
                      :ARG1 v3))
   :mod (e3 / ethics)
   :ARG1-of (s2 / specific-02))"
s007,235,23 The limitations of DPIAs have been noted in terms of promoting accountability and ensuring fairness in the work context.,Institute for the Future of Work,Policy Briefing: Algorithmic Impact Assessments,civil society > state-dependant,societe civile,https://global-uploads.webflow.com/5f57d40eb1c2ef22d8a8ca7e/62349d0fc097275eec2a930c_IFOW-AIA%20Policy%20Paper%20(v8-18.03.22).pdf,"# ::id s007
# ::doc_id 235
# ::snt 23 The limitations of DPIAs have been noted in terms of promoting accountability and ensuring fairness in the work context.
(n / note-01
   :li 23
   :ARG1 (l / limit-01
            :ARG1 (t / thing
                     :name (n2 / name
                               :op1 ""DPIA""))
            :topic (a / and
                      :op1 (p / promote-02
                              :ARG0 t
                              :ARG1 (a2 / accountable-02))
                      :op2 (e / ensure-01
                              :ARG0 t
                              :ARG1 (f / fair-01)
                              :location (c / context
                                           :mod (w / work-01))))))"
s008,160,"It can mean: access upon request to the public or authorised people; public posting of information; direct inspection of internal processes; the results of the manufacturer’s or operator’s tests of the system for accuracy and fairness; delivery of complete subsystems and their data for testing by authorised people, with the results reported to the public or to regulatory bodies; access to computer scientists and managers to explain algorithmic or operational processes.",European Parliament,A governance framework for algorithmic accountability and transparency,international organisation > EU institution,organisation internationale,http://www.europarl.europa.eu/RegData/etudes/STUD/2019/624262/EPRS_STU(2019)624262_EN.pdf,"# ::id s008
# ::doc_id 160
# ::snt It can mean: access upon request to the public or authorised people; public posting of information; direct inspection of internal processes; the results of the manufacturer’s or operator’s tests of the system for accuracy and fairness; delivery of complete subsystems and their data for testing by authorised people, with the results reported to the public or to regulatory bodies; access to computer scientists and managers to explain algorithmic or operational processes.
(p / possible-01
   :ARG1 (m / mean-01
            :ARG1 (ii / it)
            :ARG2 (a / and
                     :op1 (a2 / access-01
                              :ARG1 (o / or
                                       :op1 (p2 / public)
                                       :op2 (p3 / person
                                                :ARG1-of (a3 / authorize-01)))
                              :time (a4 / after
                                        :op1 (r / request-01
                                                :ARG0 o
                                                :ARG1 a2)))
                     :op2 (p4 / post-01
                              :ARG1 (ii2 / information)
                              :ARG2 p2)
                     :op3 (ii3 / inspect-01
                               :ARG1 (p5 / process-02
                                         :ARG1-of (ii4 / internal-02))
                               :ARG1-of (d / direct-02))
                     :op4 (r2 / result-01
                              :ARG1 (t / test-01
                                       :ARG0 (o2 / or
                                                 :op1 (c / company
                                                         :ARG0-of (m2 / manufacture-01))
                                                 :op2 (p6 / person
                                                          :ARG0-of (o3 / operate-01)))
                                       :ARG1 (s / system)
                                       :ARG2 (a5 / and
                                                 :op1 (a6 / accuracy)
                                                 :op2 (f / fairness))))
                     :op5 (d2 / deliver-01
                              :ARG1 (a7 / and
                                        :op1 (s2 / subsystem
                                                 :ARG1-of (c2 / complete-02))
                                        :op2 (d3 / data
                                                 :poss s2))
                              :ARG2 (t2 / test-01
                                        :ARG0 p3
                                        :ARG1 a7
                                        :ARG2 a7
                                        :ARG1-of (r3 / report-01
                                                     :ARG2 (o4 / or
                                                               :op1 p2
                                                               :op2 (b / body
                                                                       :ARG0-of (r4 / regulate-01))))))
                     :op6 (a8 / access-01
                              :ARG1 (a9 / and
                                        :op1 (s3 / scientist
                                                 :mod (c3 / computer))
                                        :op2 (p7 / person
                                                 :ARG0-of (m3 / manage-01)))
                              :purpose (e / explain-01
                                          :ARG0 a9
                                          :ARG1 (p8 / process-02
                                                    :mod o3))))))"
s009,38,"Researchers have come up with many dozens of mathematical definitions to define what fairness means in an algorithm and many of them perform extremely well when measured from one angle, but from a different angle can produce very different results.",Australian Government - Department of Industry Innovation and Science,Artificial Intelligence. Australia's Ethics Framework. A discussion paper,national authority,autorite nationale,https://www.csiro.au/-/media/D61/Reports/Artificial-Intelligence-ethics-framework.pdf,"# ::id s009
# ::doc_id 38
# ::snt Researchers have come up with many dozens of mathematical definitions to define what fairness means in an algorithm and many of them perform extremely well when measured from one angle, but from a different angle can produce very different results.
(a / and
   :op1 (c / come-up-11
           :ARG0 (p / person
                    :ARG0-of (r / research-01))
           :ARG1 (t / thing
                    :ARG2-of (d / define-01
                                :ARG0 p
                                :ARG1 (t2 / thing
                                          :ARG2-of (m / mean-01
                                                      :ARG1 (f / fairness)
                                                      :location (a2 / algorithm))))
                    :quant (m2 / multiple
                               :op1 12)
                    :mod (m3 / mathematics))
           :purpose (d2 / define-01
                        :ARG0 p
                        :ARG1 t2))
   :op2 (p2 / perform-02
            :ARG0 (t3 / thing
                      :ARG2-of (d3 / define-01)
                      :quant (m4 / many)
                      :ARG1-of (ii / include-91
                                   :ARG2 t))
            :ARG1 (w / well-09
                     :degree (e / extreme))
            :time (m5 / measure-01
                      :ARG2 (a3 / angle
                                :quant 1))
            :concession-of (p3 / possible-01
                               :ARG1 (p4 / produce-01
                                         :ARG0 (a4 / angle
                                                   :ARG1-of (d4 / differ-02
                                                                :degree (v / very)))
                                         :ARG1 (t4 / thing
                                                   :ARG2-of (r2 / result-01)
                                                   :ARG1-of (d5 / differ-02
                                                                :degree v))))))"
