node_id,sample_id,doc_id,keyword_concept,position,n_parents,n_children,n_siblings,parent_rels,parent_concepts,child_rels,sibling_concepts,r1_nodes,r2_nodes,r3_nodes,actor_type
s000#0,s000,161,fairness,leaf,2,0,3,"[':op1', ':ARG1']","['and', 'mean-01']",[],"['deploy-01', 'and', 'and']",3,7,15,international organisation
s001#0,s001,52,fairness,leaf,1,0,2,[':ARG1'],['mean-01'],[],"['thing', 'we']",2,4,6,national authority
s002#0,s002,69,fair-01,leaf,1,0,3,[':op3'],['and'],[],"['diversity', 'discriminate-01', '5']",2,6,15,national authority
s003#0,s003,82,fairness,leaf,1,0,2,[':op2'],['and'],[],"['right-05', 'accountable-02']",2,6,9,international organisation
s004#0,s004,135,fair-01,leaf,1,0,2,[':ARG1'],['define-01'],[],"['thing', 'you']",2,4,6,international organisation
s005#0,s005,272,fairness,leaf,1,0,2,[':op1'],['and'],[],"['value', 'domain']",2,5,9,national authority
s006#0,s006,187,fair-01,leaf,1,0,1,[':ARG1'],['define-01'],[],['thing'],2,3,6,civil society
s007#0,s007,52,fairness,leaf,1,0,2,[':op1'],['and'],[],"['accountable-02', 'transparency']",2,5,7,national authority
s008#0,s008,87,fairness,leaf,1,0,3,[':op3'],['and'],[],"['transparency', 'loyal-01', 'law']",2,5,8,international organisation
s010#0,s010,138,fairness,leaf,1,0,4,[':op1'],['and'],[],"['explain-01', 'transparency', 'robustness', 'know-01']",2,7,11,international organisation
s011#0,s011,201,fair-01,internal,1,1,1,[':op1'],['and'],[':ARG1'],['accountable-02'],3,8,13,
s011#1,s011,201,fair-01,internal,1,1,2,[':op1'],['and'],[':ARG1'],"['accountable-02', 'they']",3,7,13,
s012#0,s012,212,fair-01,internal,1,1,1,[':ARG0'],['depend-01'],[':ARG1'],['factor'],3,6,9,civil society
s013#0,s013,17,fairness,internal,1,1,1,[':ARG1'],['approach-02'],[':mod'],['this'],3,5,7,civil society
