sample_id,doc_id,sentence,ntok,actor_type
s000,161,"The European social partners furthermore refer to principles of fairness (no unfair bias and discrimination), safe deployment of AI through a risk assessment, and transparency and explicability with effective oversight.",30,international organisation
s001,52,"This highlights challenges in defining what we mean by fairness, which is a complex and long debated topic.",18,national authority
s002,69,"lawful, ethical and robust) AI: 1) Human agency an d oversight, 2)Technical robustness and safety, 3)Privacy and data governance , 4)Transparency, 5) Diversity, non -discrimination and fairness, 6) Social and environmental well -being, 7) Accountability 21 Whitepaper on artificial intelligence, COM(2020) 65 final 22 II.",48,national authority
s003,82,"For instance, how could AI systems be designed so they respect and promote human rights, fairness and accountability?",18,international organisation
s004,135,Assessment List for Trustworthy AI (ALTAI) 17 • Is your definition of fairness commonly used and implemented in any phase of the process of setting up the AI system?,28,international organisation
s005,272,"Or, under certain conditions such as data sparsity, privacy-enhancing techniques can result in a loss in accuracy, affecting decisions Page 12 NIST AI 100-1 AI RMF 1.0 about fairness and other values in certain domains.",38,national authority
s006,187,"Considering that several definitions of fairness exist, it is useful to understand how they relate to each other.",18,civil society
s007,52,"Organisations that are introducing algorithms into decisions that were previously purely made by humans should be looking to achieve at least equivalent standards of fairness, accountability and transparency, and in many cases should look to do better.",37,national authority
s008,87,‘Algorithmic Transparency and Platform Loyalty or Fairness in the French Digital Republic Bill’.,13,international organisation
s009,83,"(2018), “Gender shades: intersectional accuracy dispar-ities in commercial gender classification” , Conference on Fairness, Accountability, a nd Transparency, pp.",19,international organisation
s010,138,"This includes fostering the understanding of AI systems more generally (including a basic understanding of machine learning and reasoning), but also raising awareness of data protection rights , an understanding of how (personal) data can be used, the implications of digital tracking , and the importance of issues such as fairness, explainability, transparency, robustness of AI systems, and knowledge of these topics .",60,international organisation
s011,201,"RECOMMENDATION 4 Set up a national platform for auditing algorithms Developing algorithmic auditing to check their compliance with the law and fairness is often billed as a solution to ensure their fairness, accountability and, more broadly, their compliance with the law.Through design, the whole relationship between humans and machines can be adjusted, to empower us and increase our ability to make informed decisions HOW CAN HUMANS KEEP THE UPPER HAND?",71,
s012,212,"Case 28 (related to Case 3): Fairness of automated ranking depends on the factors which are weighed in by the algorithm In December 2020, the Labor division of the Italian Bologna Court found that Deliveroo’s reputational ranking algorithm “Frank,” which determined the order in which Deliveroo’s riders would be called for a given service, was discriminatory and unlawful, after three riders sued the company.",66,civil society
s013,17,Several scholars have identiﬁed limitations with these approaches to observational fairness.,11,civil society
s014,350,"This public input should include (1) determining the reasonableness, fairness, equity, and justifiability of the translation of the project's objective into the statistical and mathematical frame and (2) deter mining the alignment of that translation with the potential impacts of the system on human rights, fundamental freedoms, democracy, and the rule of law.",54,national authority
s015,183,"The Union and its Member States shall encourage research projects intended to provide solutions, based on artificial intelligence, robotics and related technologies, that seek to promote social inclusion, democracy, plurality, solidarity, fairness, equality and cooperation.",35,international organisation
s016,350,In 2018 IEEE/ACM International Work shop on Software Fairness (FairWare) (pp.,12,national authority
s017,176,"Acknowledges that machine learning algorithms are trained to learn by themselves, benefiting automation and decision-making; calls for AI ethics guidelines to address issues related to algorithmic transparency, explainability, accountability and fairness; 161.",33,international organisation
s018,160,"In a sense, defining the governing sense of ‘fairness’ is at the heart of many political disputes and is required when we operationalise fairness by programming a computer.",28,international organisation
s019,135,"16 REQUIREMENT #5 Diversity, No n-discrimination and Fairness In order to achieve Trustworthy AI, we must enable inclusion and diversity throughout the entire AI system’s life cycle.",29,international organisation
s020,223,"The NRC would facilitate audits of large-scale models, datasets, and AI systems for privacy violations and bias; but it would not be tantamount to a regulatory requirement for fairness assessments and accountability.",33,academia
s021,218,"ProFair’s AI Principles consultations with product teams this year have explored potential fairness issues in models and products that utilize text and image generation, person and object detection, and classification functions for teams across Google.",36,private sector
s022,65,"AI will improve the quality of services and the efficiency of processes while guarantying fairness, wellbeing, and quality of life.AI technologies should be easily available to promote the efficiency and quality of all activities, including SMEs, public services and every citizen.",42,private sector
s023,418,"For institutional affiliation outside of academia, regex phrase matching was used on prominent AI technology company contributors.Source Data IntegrationMethodology Task and sub-task classification Ethics and Fairness Topic Evaluation Institution/country Affiliation [Research_Development]_[Appendix_Start] [Access_Data]AI Index-arXiv full paper search engine 190Artificial Intelligence Index Report 2019 Technical Appendix 1 - Research & Development Combined dataset: OutAiPaperCountByYearDocType Combined dataset: OutAiPaperCitationCountryPairByYearDocType The citation and reference count represents the number of respective metrics for AI papers collected from ALL papers.",78,
s024,187,"hypothesis) that minimi se the classification errors on the training data , while satisfying the fairness constraint.",16,civil society
s025,82,"Can training data be checked for discrimination risks?266 As noted, an emerging and vibrant field of computer science focuses on such questions.267 More generally: if countries fund AI research, part of that funding should be used for research into the risks for fairness and human rights , and into mitigating th ose risks.",54,international organisation
s026,47,"on fairness, accountability and transparency, that apply to all AI systems .",11,civil society
s027,148,"41 European Commission, Coordinated Plan on Artificial intelligence 2021 Review , (COM(2021) 205 final) 15 4.4 Regulation The u se of certain AI technologies raise s ethical and legal issues, necessitating the development of a legal framework for human -centric and trustworthy AI .42 These issues relate to human rights, privacy, fairness, algorithmic bias, transparency and explainability, safety and accountability, among others.",63,international organisation
s028,193,"At a technical level, the challenges of fairness and safety are related.",12,national authority
s029,179,"The principl es to be respected include fairness and non- discrimination, and the right to privacy .",16,international organisation
s030,17,"Their efforts stalled after they were unable to agree on “broad technical solutions to the issues involved in fairness.” These precedents emphasize what the Fairness, Accountability and Transparency in Machine Learning community has been discovering: without a “tight connection to real world impact,” the added value of new fairness metrics and algorithms in the machine learning community could be minimal.",60,civil society
s031,193,Recommendation 17: Federal agencies that make grants to state and local governments in support of the use of AI -based systems to make consequential decisions about individuals should review the terms of grants to ensure that AI -based products or services purchased with Federal grant funds produce results in a sufficiently transparent fashion and are supported by evidence of efficacy and fairness.,62,national authority
s032,160,"The notions of responsibility and fairness are core aspects of the field, and so could be seen a potential solutions in relation to the design and use of algorithms.",29,international organisation
s033,428,–Select data that fits criteria of fairness.,7,civil society
s034,94,"The group also discussed and explored the role of AI on young people’s access to rights (including, in particular, social rights), as well as the sustainability and fairness of the social security systems .",34,national authority
s035,168,'A Survey on Bias and Fairness in Machine Learning.,9,international organisation
s036,47,"transparency, fairness, non -discrimination).",4,civil society
s037,38,39 5.3 Fairness and predictions ................................,6,national authority
s038,187,"In fact, transparency and explainability may allow for the discovery of deficiencies, but they do not guarantee the reliability, security and fairness of an ADS.",25,civil society
s039,52,What good practice should a team then follow when seeking to ensure fairness in an algorithmic decision-making tool?,19,national authority
s040,163,"EU Member States must ensure in their national laws that personal data are processed in accordance with the principles of lawfulness, fairness , and transparency, processed only for specified and explicit purposes, be limited to what is necessary and kept safe and only for as l ong as necessary (Article 5).",50,civil society
s041,69,"70 Fairness (5) Participation (5) Freedom of choice (5) Freedom of expression and of creation (5) Accountability (3) Competence and capacity (2) Independence (3) Individual autonomy (3) Cultural cooperation (2) Sustainability and Long -term Orientation (2) Despite the limitations of the analysis mentioned, it is clear that the first three principles are seen as key elements in the future regulation of AI and will therefore be its main focus.",69,national authority
s042,212,"General data protection principles, including fairness, apply to all ADM Regardless of whether ADM and profiling practices fall under Article 22 or not, they must comply with the key principles outlined in Article 5 GDPR.",35,civil society
s043,193,"Also , where regulatory responses to the ad dition of AI threaten to increase the cost of compliance , or slow the development or adoption of beneficial innovations, policymakers should consider how those responses could be adjusted to lower costs and barriers to innovation without adversely impactin g safety or market fairness .",50,national authority
s044,377,"© Tieto Corporation1Tieto’s AI ethics guidelinesHuman rightsEnsuringthe freedomand libertyor peopleto serve the social good.Safety & securityAI systemsarebuiltto preventmisuseand reducetheriskof beingcompromised.Responsibility CommittedtoharnessAI forgood,fortheplanet andhumankind.Fairness & equalityUnbiased, fairandinclusiveAI fosteringdiversityandequalityamongpeople.TransparencyStrivingtowardsAI thatcanbeexplainedandexplainitself.",31,private sector
s045,160,"In contrast to transparency and accountability, we do not suggest that fairness is to be considered as a tool to facilitate best practice in algorithmic systems.",26,international organisation
s046,52,"It is always better to acknowledge biases, understand underlying causes, and address them as far as possible, but the “correct“ approach for ensuring fairness in an algorithmic decision-making tool will depend strongly on use case and context.",38,national authority
s047,351,"For more detailed information about the specific meanings of transparency, accountability, and fairness as data protection principles in the context of the GDPR and the DPA 2018, please refer to the Guide to Data Protection produced by the Information Commissioner’s Office.",42,national authority
s048,52,Ensuring fairness in how the public sector uses algorithms in decision-making is crucial.,14,national authority
s049,351,Problem formulation and fairness.,4,national authority
s050,264,We outsourced our AI system development to an AI system developer and have receive d explanations from development personnel in areas ranging from data set content to the verification of AI model behavior to ensure that we are able to address not only the matter of accuracy but also fairness.,50,national authority
s051,264,Example: Did the AI system operator understand the precautions related to fairness that were summarized by the AI system developer?,20,national authority
s052,351,"Targeted principles such as fairness, accountability, sustainability , and transparency are meant to ‘ fill the gap ’ between the new ‘smart agency’ of machines and their fundamental lack of moral responsibility.",29,national authority
s053,207,"(2020), Why fairness cannot be automated: bridging the gap between EU nondiscrimination law and AI .",15,international organisation
s054,274,"Roth, “Fairness in Reinforcement Learning,” arXiv:1611.03071 [cs] , Aug.",10,national authority
s055,429,"– The FATML (Fairness, Accountability and Transparency in Machine Learning) Principles (2016) – on accountable algorithms; developed by a large network of scientists, researchers, and industry professionals.",25,
s056,16,"Separately, ​ ​ criminologist ​ ​ Richard ​ ​ Berk ​ ​ and ​ ​ his ​ ​ colleagues ​ ​ argue ​ ​ that ​ ​ there ​ ​ are ​ ​ intractable tradeoffs ​ ​ between ​ ​ accuracy ​ ​ and ​ ​ fairness—the ​ ​ occurrence ​ ​ of ​ ​ false ​ ​ positives ​ ​ and negatives—in ​ ​ populations ​ ​ where ​ ​ base ​ ​ rates ​ ​ (the ​ ​ percentage ​ ​ of ​ ​ a ​ ​ given ​ ​ population ​ ​ that ​ ​ fall into ​ ​ a ​ ​ specific ​ ​ category) ​ ​ vary ​ ​ between ​ ​ different ​ ​ social ​ ​ groups.",46,
s057,136,"1.7 Accountability The requirement of accountability complements the above requirements , and is closely linked to the principle of fairness .",20,international organisation
s058,350,"NOT APPLICABLE : No message 154 Non-discrimination, fairness, and equality 54) Will sufficient and transparently reported processes be implemented throughout the project’s lifecycle to ensure that the AI system, in both its production and use, mitigates possible sources of bias and discrimin atory patterns in each of the following: a.",51,national authority
s059,165,"One of the first analyses in this r espect is a recently published report of the European Commission Expert Group entitled 'Ethics of Connected and A utomated Vehicles – Recommendations on road safety, privacy, fairness, explainability and responsibility '.26 This report makes 20 specific ethical recommendations concerning the future development and deployment of CAVs.",53,international organisation
s060,350,"Non-discrimination, fairness, and equality IDENTIFYING POTENTIA L ADVERSE IMPACTS How, if at all, could the AI system (either in the processes of its production or in its deployment) result in discrimination, have discriminatory effects on impacted rights -holders, or perfor m differentially for different groups in discriminatory or harmful ways — including for intersectional groups where vulnerable or protected characteristics converge?",61,national authority
s061,52,In the world before AI there were many different concepts of fairness.,12,national authority
s062,40,"The presence of a statistical bias may lead to a fairness bias, but this is neither a sufficient nor a necessary condition.",22,civil society
s063,71,"Equal treatment of the parties is regarded as one of the major principles of successful ODR.38 Without this principle, ODR cannot addressed the concerns of fairness.",27,
s064,212,"As the cases in this Report show, fairness is already linked to non-discrimination, but the principle is generous enough to potentially include imbalances of power and other dimensions that will be clarified as case-law evolves.",37,civil society
s065,52,"However, these efforts tend to be focused on data protection and accuracy, rather than fairness and discrimination.",17,national authority
s066,274,"Therefore, when we consider the computational approaches to mitigating bias, we must take into consideration these three components together: algorithms, data, and fairness metrics.",24,national authority
s067,173,"European Skills Agenda for sustainable competitiveness, social fairness and resilience .",10,international organisation
s068,52,"Human developers and users of algorithms must decide the concepts of fairness that apply to their context, and ensure that algorithms deliver fair outcomes.",24,national authority
s069,73,"p.6 ""Furthermore, depending on the specific application various aspects (safety, fairness, privacy, security) have different relevance which must be considered by such a labelling scheme "".",26,international organisation
s070,193,"AI and Regulation AI has applications in many products, such as cars and air craft, which are subject to regulation designed to protect the public from harm and ensure fairness in economic competition .",33,national authority
s071,17,"IBM released the “AI Fairness 360” open-source tool kit, which includes nine different algorithms and many other fairness metrics developed by researchers in the Fairness, Accountability and Transparency in Machine Learning community.",33,civil society
s072,38,It is important for government and society to give consideration to the degree of flexibility that designers of AI systems should have when it comes to making trade -offs between fairness m easures and other priorities like profit .,38,national authority
s073,136,"Key gui dance derived from Chapter I:  Develop, deploy and use AI systems in a way that adheres to the ethical principles of : respect for human autonomy, prevention of harm, fairness and explicability.",33,international organisation
s074,17,"As legal scholar Frank Pasquale observes, “algorithms alone can’t meaningfully hold other algorithms accountable.” 127 While increased attention to the problems of fairness and bias in AI is a positive development, some have expressed concern over a “mathematization of ethics.” 128 As Shira Mitchell has argued: “As statistical thinkers in the political sphere we should be aware of the hazards of supplanting politics by an expert discourse.",68,civil society
s075,273,A qualitative exploration of perceptions of algorithmic fairness.,8,national authority
s076,269,"A series of stra tegic themes, which will be touched on throughout the report, has to do with ethics and the validation and certification of AI technologies, the aim being confidence on the part of all stakeholders in their results: from validation in terms of theoretical proof to explicability, transparency, causality and fairness.",53,national authority
s077,256,This is especially true because fairness in AI sits at the intersection of technology and society and can’t be addressed with purely technical approaches.,25,
s078,351,"The final two fairness types focus instead on cases of individual fairness, where cont ext-specific issues of effective bias are considered and assessed at the level of the individual agent.",31,national authority
s079,52,"It is important to recognise that the growing literature and toolsets on algorithmic fairness often only address part of the issue (that which can be quantified), and wider interventions to promote fairness and equality remain key to success.",38,national authority
